1,Human,0.546103,13.9482,0.00931727,1.00403,59.6862,0.10475084,0.143461848,0.025611434,0.008921438,0.568165208,0.69,0.19,0.08,0.02,0,0.01,0,0,0,0.01,0.08,0.13,0.08,0.19,0.08,0.11,0.11,0.05,0.03,0.14,0.11,0.17,0.16,0.16,0.08,0.06,0.1,0.08,0.03,0.05,0.06,0.15,0.18,0.08,0.2,0.06,0.1,0.09,0.05,0.03,0.04,0.04,0.15,0.14,0.11,0.01,0.09,0.2,0.13,0.09
2,Human,0.620546,8.8339,0.0133338,1.00919,36.8862,0.123418723,0.084685452,0.038188163,0.020372836,0.346521032,0.6,0.14,0.14,0.04,0.03,0,0.02,0.01,0.01,0.01,0.19,0.13,0.08,0.14,0.13,0.09,0.07,0.06,0.03,0.08,0.11,0.18,0.24,0.18,0.07,0.06,0.06,0.05,0.02,0.03,0.03,0.09,0.08,0.17,0.33,0.12,0.08,0.04,0.02,0.04,0.07,0.15,0.18,0.14,0,0.02,0.1,0.09,0.15,0.1
3,Human,0.59499,10.8743,0.0113062,1.01729,15.0184,0.117010109,0.10813487,0.031839256,0.038348868,0.133938992,0.77,0.18,0.03,0.01,0,0,0,0,0,0.01,0.08,0.14,0.14,0.25,0.27,0.02,0.02,0.04,0.01,0.03,0.11,0.12,0.2,0.13,0.18,0.06,0.03,0.05,0.03,0.09,0.07,0.07,0.14,0.13,0.14,0.11,0.12,0.1,0.05,0.07,0.05,0.09,0.17,0.25,0.05,0.05,0.16,0.08,0.07,0.03
4,Human,0.630736,10.9428,0.0119947,1.04094,17.1346,0.125974044,0.108922111,0.033995116,0.090834443,0.154511071,0.69,0.11,0.06,0.05,0.03,0.03,0.01,0,0.01,0.01,0.09,0.21,0.28,0.22,0.11,0.01,0.01,0.02,0,0.05,0.05,0.13,0.22,0.18,0.16,0.08,0.06,0.07,0.03,0.02,0.09,0.11,0.15,0.19,0.12,0.13,0.1,0.05,0.04,0.02,0.02,0.16,0.17,0.17,0.06,0.03,0.13,0.09,0.13,0.04
5,Human,0.695265,7.87536,0.016318,1.00529,31.7815,0.142155818,0.073669374,0.047532417,0.01171771,0.29689704,0.69,0.17,0.06,0.02,0.03,0,0.01,0,0.01,0.01,0.14,0.11,0.06,0.18,0.09,0.11,0.09,0.05,0.1,0.07,0.08,0.2,0.17,0.18,0.15,0.07,0.08,0.03,0.03,0.01,0.01,0.08,0.12,0.25,0.23,0.17,0.07,0.02,0.04,0.01,0.04,0.13,0.19,0.07,0.01,0.05,0.11,0.23,0.13,0.04
6,Human,0.655112,10.6533,0.0143528,1.0102,37.6357,0.132086752,0.105595015,0.041378899,0.022614292,0.353807098,0.88,0.09,0,0.02,0,0,0,0,0,0.01,0.12,0.12,0.27,0.09,0.1,0.07,0.07,0.03,0.05,0.08,0.14,0.17,0.18,0.13,0.1,0.11,0.04,0.05,0.04,0.04,0.04,0.04,0.1,0.14,0.2,0.13,0.18,0.08,0.05,0.04,0.06,0.09,0.18,0.17,0.01,0.02,0.08,0.19,0.14,0.06
7,Human,0.604194,9.65704,0.0133433,1.00481,38.1339,0.119318173,0.094145437,0.03821791,0.010652463,0.358650218,0.74,0.15,0.06,0.02,0.01,0,0,0,0,0.02,0.14,0.14,0.19,0.12,0.06,0.06,0.06,0.12,0.03,0.08,0.09,0.18,0.27,0.14,0.1,0.04,0.07,0.05,0.01,0.05,0.07,0.14,0.22,0.19,0.13,0.09,0.05,0.05,0.03,0.03,0.02,0.16,0.22,0.1,0.01,0.02,0.14,0.2,0.11,0.02
8,Human,0.488594,13.0034,0.00777846,1.00221,29.4274,0.090329453,0.132603678,0.020793047,0.004882379,0.274012279,0.68,0.21,0.04,0.02,0.02,0.02,0,0,0,0.01,0.16,0.11,0.15,0.1,0.14,0.13,0.05,0.09,0.04,0.03,0.08,0.17,0.16,0.1,0.13,0.14,0.1,0.01,0.07,0.04,0.11,0.12,0.2,0.17,0.15,0.14,0.03,0.03,0.04,0.01,0.1,0.09,0.13,0.09,0,0.07,0.2,0.19,0.11,0.02
9,Human,0.475305,12.3235,0.00771288,1.00324,29.3102,0.086997004,0.124789887,0.0205877,0.00716822,0.27287295,0.92,0.06,0.01,0,0,0,0,0,0,0.01,0.08,0.16,0.15,0.2,0.15,0.09,0.06,0.05,0.02,0.04,0.05,0.21,0.17,0.18,0.05,0.13,0.03,0.1,0.07,0.01,0.11,0.15,0.15,0.22,0.13,0.12,0.08,0.03,0,0.01,0.04,0.11,0.22,0.17,0.06,0.02,0.1,0.16,0.07,0.05
10,Human,0.541653,12.0054,0.00934541,1.00855,62.2413,0.103634925,0.121134104,0.025699547,0.018952508,0.593003938,0.82,0.12,0.04,0,0,0.01,0,0,0,0.01,0.06,0.12,0.05,0.13,0.18,0.06,0.05,0.07,0.11,0.17,0.15,0.16,0.11,0.18,0.1,0.1,0.06,0.05,0.06,0.03,0.06,0.17,0.23,0.15,0.09,0.1,0.11,0.03,0.03,0.03,0.06,0.14,0.16,0.15,0.05,0.01,0.1,0.17,0.09,0.07
