1.off: Human; 4706; 9408; triangles; -0.362883 -0.138176 -0.979672; 0.364758 0.155597 0.816414
2.off: Human; 10050; 20096; triangles; -0.205586 -0.959707 -0.533277; 0.133258 0.916526 0.505301
3.off: Human; 5641; 11278; triangles; -0.268936 -0.937717 -0.267749; 0.280586 0.556325 0.426877
4.off: Human; 5676; 11348; triangles; -0.279213 -0.94802 -0.310635; 0.329107 0.505744 0.398614
5.off: Human; 15154; 30308; triangles; -0.555662 -0.931541 -0.408832; 0.433563 0.999906 0.365818
6.off: Human; 10098; 20192; triangles; -0.249875 -0.988545 -0.22694; 0.251338 0.759861 0.166589
7.off: Human; 8441; 16878; triangles; -0.150307 -0.28627 -0.98605; 0.188054 0.287679 0.874778
8.off: Human; 11015; 22026; triangles; -0.325783 -0.372229 -0.989051; 0.345327 0.388747 0.841066
9.off: Human; 2639; 5274; triangles; -0.318209 -0.343994 -0.988769; 0.336627 0.37601 0.836355
10.off: Human; 9508; 19012; triangles; -0.211414 -0.964406 -0.518502; 0.140155 0.930527 0.527886
11.off: Human; 10999; 21994; triangles; -0.866401 -0.254456 -0.903089; 0.86519 0.140254 0.894066
12.off: Human; 5614; 11224; triangles; -0.849166 -0.25417 -0.909495; 0.857089 0.139306 0.904837
13.off: Human; 13703; 27402; triangles; -0.511326 -0.959201 -0.434738; 0.331476 0.99959 0.280974
14.off: Human; 5691; 11378; triangles; -0.667715 -0.834555 -0.666328; 0.421211 0.361332 0.310106
15.off: Human; 5631; 11258; triangles; -0.293474 -0.86993 -0.291992; 0.292222 0.580901 0.485891
16.off: Human; 15223; 30450; triangles; -0.497468 -0.841447 -0.526886; 0.340819 0.896209 0.326748
17.off: Human; 15910; 31816; triangles; -0.482516 -0.846853 -0.522104; 0.50184 0.819366 0.391761
18.off: Human; 15385; 30766; triangles; -0.560539 -0.789644 -0.569571; 0.434836 0.915339 0.443234
19.off: Human; 15477; 30950; triangles; -0.486375 -0.971155 -0.421719; 0.398089 0.982827 0.344684
20.off: Human; 15700; 31396; triangles; -0.440116 -0.967757 -0.385793; 0.409329 0.944012 0.314553
21.off: Cup; 15198; 30396; triangles; -0.958498 -0.565449 -0.614474; 0.704164 0.523527 0.620392
22.off: Cup; 15002; 30004; triangles; -0.820897 -0.598363 -0.687758; 0.939458 0.710098 0.693897
23.off: Cup; 15037; 30074; triangles; -0.988173 -0.577739 -0.714207; 0.786336 0.44876 0.716959
24.off: Cup; 15246; 30492; triangles; -0.838958 -0.631289 -0.700982; 0.943793 0.699648 0.70249
25.off: Cup; 15087; 30170; triangles; -0.585517 -0.885707 -0.571351; 0.579172 0.821075 0.576458
26.off: Cup; 15209; 30418; triangles; -0.643368 -0.520257 -0.771033; 0.912592 0.523004 0.715781
27.off: Cup; 15137; 30274; triangles; -0.642404 -0.549153 -0.662109; 0.86371 0.554481 0.703455
28.off: Cup; 15070; 30140; triangles; -0.959558 -0.582282 -0.621327; 0.727063 0.519904 0.6294
29.off: Cup; 15127; 30254; triangles; -0.624264 -0.500294 -0.650657; 0.935906 0.490971 0.640459
30.off: Cup; 15006; 30008; triangles; -0.542379 -0.928333 -0.541002; 0.549027 0.518388 0.550698
31.off: Cup; 15227; 30454; triangles; -0.963292 -0.89607 -0.643759; 0.793415 0.6695 0.648166
32.off: Cup; 14751; 29502; triangles; -0.619332 -0.628529 -0.531993; 0.85331 0.704408 0.534948
33.off: Cup; 7349; 14698; triangles; -0.741236 -0.615942 -0.674574; 0.971166 0.650718 0.6727
